hour,abs_error
0,0.21350695303420303
1,0.198088948345141
2,0.18381797208063552
3,0.20093536342880386
4,0.19126078377478825
5,0.21801858947837569
6,0.25045021540957174
7,0.32960428126124125
8,0.3565565142900827
9,0.34735583971010425
10,0.3155862169406306
11,0.31750142479828114
12,0.32399627331941505
13,0.3269984472720217
14,0.3438275536368383
15,0.3593181041546744
16,0.39982190216181024
17,0.4290981191713014
18,0.4161770706354012
19,0.342461265153175
20,0.28311255946132474
21,0.2618092131709097
22,0.2406653105056934
23,0.2294611025836665
